Cause,Coordinates,Date,Fuels Involved,Incident,Incident Type,Location,Perimeter Contained (%),Personnel Involved,Fire Size (Acres)
"Saturday August 15th, 2020 approx.   07:15 AM",,"Tyler Brown, Texas A&M Forest Service",,Chimney Fire,Wildfire,"32.722 latitude, -99.481 longitude",40.0,,600
Lightning,"33.544 latitude, -110.42 longitude","Saturday August 01st, 2020 approx.   04:30 PM","Primary carrier of the fire is currently the timber litter, grass and light brush associated with the under story of the ponderosa pine forest. Oak scrub is involved on the western edge of the burn area.",Cassadore Springs Fire,Wildfire,"11 miles north of San Carlos, AZ",90.0,243,21284
Powerline,"30.863 latitude, -100.548 longitude","Thursday August 13th, 2020 approx.   03:15 PM",,Bucholtz Fire,Wildfire,5 miles east of Eldorado,100.0,,73
Lightning,Wildfire,"Friday July 31st, 2020 approx.   05:15 PM","Pinyon, juniper, oak, and sage",Pine Gulch Fire,Wildfire,"18 miles north of Grand Junction, Colorado",7.0,757,74807
Unknown,Wildfire,"Friday August 14th, 2020 approx.   11:43 AM","Timber,litter and understory",Williams Fork,Wildfire,"15 miles NW of Fraser, CO",,93,1300
Lightning,"Fire Burning In Steep, Rugged Terrain","Monday August 10th, 2020 approx.   01:45 PM",Grass and Brush,Klaus,Wildfire,"Douglas Ranger District on the Coronado National Forest. 11 miles southwest of Portal, AZ",30.0,80,2900
,,,,",",,,,,
Unknown,,BLM Wyoming,,Bradley Fire,Wildfire,"42.286 latitude, -107.052 longitude",90.0,,1700
"Saturday August 15th, 2020 approx.   12:15 PM",,"Stephen Tanner, Texas A&M Forest Service",,Trash Pile Fire,Wildfire,"33.858 latitude, -98.831 longitude",100.0,,2
Unknown,"46.852 latitude, -112.671 longitude","Thursday August 06th, 2020 approx.   12:00 AM","Heavy Timber (litter and understory),Fire is burning in gray stage beetle killed lodgepole with a high component of dead and down.",Fields Gulch Fire,Wildfire,Brian McGowan,75.0,30,5
"Tuesday August 11th, 2020 approx.   12:00 AM",,"Josh McGee (IV, USFS)",Mixed,Lake Creek Fire,Wildfire,"43.39 latitude, -105.072 longitude",40.0,38,770
"33.961 latitude, -116.811 longitude",,,,Apple Post-Fire BAER,Burned Area Emergency Response,,,,
"Monday August 03rd, 2020 approx.   12:00 AM",,San Mateo Mountains,Mixed Conifer and Ponderosa Pine,Seco,Wildfire,Ryan Carbajal,84.0,20,26
