Cause,Fuels Involved,Incident Type,Perimeter Contained (%),Personnel Involved,Fire Size (Acres),Latitude,Longitude,ISO Date,Region
,,Wildfire,40,,600,32.722,-99.48100000000001,2020-08-15T07:15:00,Texas
Lightning,"Primary carrier of the fire is currently the timber litter, grass and light brush associated with the under story of the ponderosa pine forest. Oak scrub is involved on the western edge of the burn area.",Wildfire,90,243,21284,33.544000000000004,-110.42,2020-08-01T16:30:00,Arizona
Powerline,,Wildfire,100,,73,30.863000000000003,-100.54799999999999,2020-08-13T15:15:00,Texas
Lightning,"Pinyon, juniper, oak, and sage",Wildfire,7,757,74807,,,2020-07-31T17:15:00,Colorado
Unknown,"Timber,litter and understory",Wildfire,,93,1300,,,2020-08-14T11:43:00,Colorado
Lightning,Grass and Brush,Wildfire,30,80,2900,,,2020-08-10T13:45:00,Arizona
Unknown,,Wildfire,90,,1700,42.286,-107.052,,Wyoming
,,Wildfire,100,,2,33.858000000000004,-98.831,2020-08-15T12:15:00,Texas
Unknown,"Heavy Timber (litter and understory),Fire is burning in gray stage beetle killed lodgepole with a high component of dead and down.",Wildfire,75,30,5,46.852,-112.671,2020-08-06T00:00:00,Montana
,Mixed,Wildfire,40,38,770,43.39,-105.072,2020-08-11T00:00:00,Wyoming
,Mixed Conifer and Ponderosa Pine,Wildfire,84,20,26,,,2020-08-03T00:00:00,New Mexico
Lightning,,Wildfire,,25,13,38.183,-119.869,2020-07-28T16:30:00,California
Unknown,"Chaparral (6 feet),Brush (2 feet),Timber (Grass and Understory)",Wildfire,12,1563,14714,,,2020-08-12T15:45:00,Louisiana
Unknown,,Wildfire,100,3,591,44.458999999999996,-109.54700000000001,2020-06-13T00:45:00,Wyoming
Lightning,"Timber (grass and understory),Brush (2 feet),Smoldering in the interior of the burn.",Wildfire,69,249,12180,65.854,-149.579,2020-06-05T15:15:00,Alaska
Human Caused,Grass and brush,Wildfire,100,90,893,33.806999999999995,-112.119,2020-06-23T14:30:00,Arizona
Human Caused,,Wildfire,100,25,4499,,,2020-06-20T11:00:00,Nebraska
Lightning,,Wildfire,100,,24729,33.419000000000004,-111.301,2020-05-30T22:00:00,Arizona
Lightning,,Wildfire,,5,18,,,2020-06-26T10:45:00,California
Human Caused,CWZ Type 3 Team will transition the incident back to Tonto National Forest Management 7/2.,Wildfire,100,20,193455,,,2020-06-13T14:00:00,Arizona
Under Investigation,Grass and sage,Wildfire,100,132,2975,39.576,-119.913,2020-06-26T21:56:00,Nevada
Lightning,Mixed conifer and aspen,Wildfire,100,,42,,,2020-06-13T00:00:00,Colorado
Lightning,,Wildfire,98,168,78065,,,2020-06-26T16:00:00,Utah
Human Caused,"Chaparral (6 feet),Tall Grass (2.5 feet)",Wildfire,90,11,502,31.444000000000003,-111.41799999999999,2020-07-06T19:32:00,Arizona
Lightning,Grass and brush,Wildfire,100,10,2306,,,2020-07-11T22:00:00,Arizona
Lightning,,Wildfire,92,177,628,34.266,-111.54,2020-07-03T15:00:00,Arizona
Lightning,"Brush, tall grass, and hardwood litter. Heavy grass crop and dry light brush are the primary carriers of the fire.",Wildfire,67,288,28051,33.479,-110.29799999999999,2020-07-12T09:30:00,Arizona
Lightning,,Wildfire,100,19,11159,,,2020-06-06T13:45:00,New Mexico
Lightning,,Wildfire,96,309,12861,35.84,-109.37799999999999,2020-06-27T14:00:00,Arizona
Unknown,,Wildfire,100,79,17545,43.857,-107.919,2020-07-14T16:45:00,Wyoming
Lightning,"Short Grass (1 foot),Brush (2 feet),Hardwood Litter",Wildfire,100,16,119987,,,2020-06-05T22:00:00,Arizona
Lightning,,Wildfire,100,1,17950,33.183,-108.333,2020-06-06T10:15:00,New Mexico
Under Investigation,,Wildfire,90,304,250,,,2020-07-16T03:00:00,Washington
Human Caused,,Wildfire,100,185,2758,,,2020-06-28T14:30:00,Nevada
Lightning,"Timber (Litter and Understory),Tall Grass (2.5 feet)",Wildfire,100,3,3226,39.804,-108.36200000000001,2020-07-13T12:00:00,Colorado
Lightning,,Wildfire,100,16,274,39.888000000000005,-108.44200000000001,2020-07-14T12:15:00,Colorado
Lightning,,Wildfire,100,1,25950,33.315,-108.56200000000001,2020-06-28T11:20:00,New Mexico
,,Wildfire,90,150,100,,,2020-07-20T12:00:00,California
Unknown,,Wildfire,90,272,1249,42.503,-120.553,2020-07-21T13:00:00,Oregon
Unknown,"Timber (Litter and understory), Brush (2 ft), Short grass (1 ft)",Wildfire,100,,180,,,2020-07-08T17:45:00,New Mexico
Under Investigation,,Wildfire,100,,71450,,,2020-06-08T15:00:00,Arizona
Lightning,"grass, brush, pinyon/juniper",Wildfire,100,3,8354,36.330999999999996,-112.573,2020-07-16T06:00:00,Arizona
